monthly_rent,location,property_type,rooms,size,furnished,region,Gymnasium,Air-Cond,Washing Machine,Swimming Pool,location_bin
1500,Kuchai Lama,Condominium,3,1040,2,Kuala Lumpur,1,1,1,1,4
1000,Taman Desa,Condominium,3,900,0,Kuala Lumpur,0,0,0,0,4
1400,Keramat,Condominium,3,926,0,Kuala Lumpur,1,1,1,1,5
2500,Cheras,Condominium,3,850,2,Kuala Lumpur,1,1,1,1,3
1500,Jalan Kuching,Condominium,3,1100,2,Kuala Lumpur,1,0,0,1,5
1400,Cheras,Service Residence,3,819,1,Kuala Lumpur,1,0,0,1,3
1000,Kepong,Apartment,3,992,1,Kuala Lumpur,1,0,0,0,3
1200,Cheras,Apartment,3,800,1,Kuala Lumpur,0,0,0,0,3
1799,Setapak,Condominium,3,850,1,Kuala Lumpur,1,0,0,1,4
900,Cheras,Condominium,3,755,1,Kuala Lumpur,1,0,0,1,3
1350,Setapak,Condominium,3,908,1,Kuala Lumpur,1,0,0,1,4
2400,Titiwangsa,Condominium,3,1100,2,Kuala Lumpur,1,1,1,1,6
900,Setapak,Flat,3,650,0,Kuala Lumpur,0,0,0,0,4
1300,Bukit Jalil,Apartment,3,870,1,Kuala Lumpur,0,1,1,0,3
1000,Bukit Jalil,Apartment,3,800,1,Kuala Lumpur,0,0,0,0,3
1000,OUG,Service Residence,3,950,0,Kuala Lumpur,0,1,0,1,3
650,Kepong,Apartment,3,650,0,Kuala Lumpur,0,0,0,0,3
1000,Bukit Jalil,Apartment,3,870,1,Kuala Lumpur,0,1,1,0,3
1400,Taman Desa,Condominium,3,938,1,Kuala Lumpur,1,1,1,1,4
602,Sungai Besi,Condominium,2,590,0,Kuala Lumpur,1,0,0,1,4
603,Cheras,Condominium,2,590,0,Kuala Lumpur,1,0,0,1,3
1300,Cheras,Service Residence,2,650,1,Kuala Lumpur,1,1,0,1,3
950,Bukit Jalil,Apartment,2,726,0,Kuala Lumpur,0,0,0,0,3
1400,Keramat,Condominium,3,850,0,Kuala Lumpur,1,0,0,1,5
1500,Cheras,Condominium,3,956,1,Kuala Lumpur,0,0,0,1,3
1500,Sentul,Service Residence,3,890,1,Kuala Lumpur,1,0,0,1,4
1600,Sentul,Condominium,3,800,2,Kuala Lumpur,0,1,1,1,4
1600,Cheras,Condominium,1,618,2,Kuala Lumpur,1,1,0,0,3
1850,Cheras,Condominium,3,1142,2,Kuala Lumpur,1,1,1,1,3
1650,Jalan Kuching,Condominium,1,563,2,Kuala Lumpur,1,1,1,1,5
2000,Old Klang Road,Service Residence,3,883,2,Kuala Lumpur,1,1,1,1,5
700,Jalan Kuching,Apartment,3,795,1,Kuala Lumpur,0,0,0,0,5
1700,Cheras,Condominium,3,850,1,Kuala Lumpur,1,1,0,1,3
1600,Bukit Jalil,Condominium,3,825,1,Kuala Lumpur,1,1,0,1,3
2000,Bukit Jalil,Condominium,3,1422,2,Kuala Lumpur,1,1,1,1,3
1500,Old Klang Road,Condominium,3,1260,2,Kuala Lumpur,1,1,1,1,5
2300,Ampang,Service Residence,2,747,2,Kuala Lumpur,1,1,1,1,3
2600,Desa Petaling,Condominium,4,1219,2,Kuala Lumpur,1,1,1,1,2
2300,Ampang,Service Residence,2,747,2,Kuala Lumpur,1,1,1,1,3
1300,Sentul,Apartment,3,1005,1,Kuala Lumpur,0,0,0,0,4
1550,Cheras,Condominium,4,1037,1,Kuala Lumpur,0,1,0,1,3
2300,Keramat,Condominium,4,1184,2,Kuala Lumpur,1,1,0,1,5
2000,Taman Melawati,Service Residence,2,836,1,Kuala Lumpur,1,1,1,1,6
1500,Ampang,Condominium,2,850,2,Kuala Lumpur,0,1,1,1,3
2700,Mont Kiara,Service Residence,2,839,2,Kuala Lumpur,1,1,1,1,6
1800,Solaris Dutamas,Condominium,3,950,1,Kuala Lumpur,1,1,1,1,5
1250,Kuchai Lama,Service Residence,3,950,0,Kuala Lumpur,0,1,0,1,4
650,Salak Selatan,Flat,3,646,0,Kuala Lumpur,0,0,0,0,1
1800,Keramat,Condominium,3,926,1,Kuala Lumpur,1,0,0,1,5
2200,Sungai Besi,Apartment,2,845,2,Kuala Lumpur,1,1,1,1,4
1600,Bukit Jalil,Apartment,3,1221,2,Kuala Lumpur,1,1,1,1,3
1700,Cheras,Condominium,3,1250,2,Kuala Lumpur,0,1,0,0,3
1100,Cheras,Service Residence,3,820,1,Kuala Lumpur,1,1,0,1,3
1100,Cheras,Service Residence,3,820,1,Kuala Lumpur,1,1,0,1,3
1600,Taman Melawati,Apartment,2,1052,1,Kuala Lumpur,0,0,0,1,6
2500,Bangsar,Condominium,2,1100,2,Kuala Lumpur,1,1,1,1,6
1300,Setapak,Condominium,2,900,0,Kuala Lumpur,1,0,0,1,4
1600,Keramat,Condominium,3,926,1,Kuala Lumpur,1,0,1,1,5
1800,Setapak,Service Residence,3,1100,1,Kuala Lumpur,1,1,1,1,4
850,Wangsa Maju,Flat,3,700,0,Kuala Lumpur,0,0,0,0,4
1500,Setapak,Condominium,3,900,0,Kuala Lumpur,1,0,0,1,4
850,Keramat,Flat,2,549,1,Kuala Lumpur,0,0,0,0,5
1100,Kepong,Condominium,3,962,0,Kuala Lumpur,0,0,0,0,3
1150,Bandar Menjalara,Condominium,3,965,0,Kuala Lumpur,0,0,0,1,4
1100,Kepong,Condominium,3,962,0,Kuala Lumpur,1,0,0,1,3
2000,Setapak,Service Residence,3,1100,1,Kuala Lumpur,0,1,0,1,4
1300,Setapak,Condominium,3,920,1,Kuala Lumpur,1,1,1,1,4
1500,Kuchai Lama,Condominium,3,1040,2,Kuala Lumpur,1,1,1,1,4
1250,Sri Hartamas,Service Residence,1,500,2,Kuala Lumpur,1,1,0,1,5
1500,Sri Hartamas,Service Residence,1,640,2,Kuala Lumpur,1,1,1,1,5
1400,Sentul,Service Residence,3,850,2,Kuala Lumpur,1,1,1,1,4
1400,Segambut,Condominium,3,1049,1,Kuala Lumpur,1,1,0,1,5
1500,Bandar Menjalara,Condominium,4,918,2,Kuala Lumpur,0,1,0,1,4
1400,Sentul,Service Residence,3,850,2,Kuala Lumpur,1,1,1,1,4
1400,Sentul,Service Residence,3,850,2,Kuala Lumpur,1,1,1,1,4
1350,Solaris Dutamas,Condominium,2,950,1,Kuala Lumpur,1,1,1,1,5
850,Bukit Jalil,Apartment,3,1200,2,Kuala Lumpur,0,0,0,0,3
1000,Bukit Jalil,Apartment,3,800,2,Kuala Lumpur,0,0,0,0,3
650,Cheras,Apartment,3,650,1,Kuala Lumpur,0,0,0,0,3
1800,Titiwangsa,Condominium,2,737,1,Kuala Lumpur,1,1,1,1,6
2000,Kepong,Apartment,3,1073,1,Kuala Lumpur,1,1,0,1,3
900,Cheras,Apartment,3,850,1,Kuala Lumpur,0,0,0,0,3
1000,Bukit Jalil,Apartment,3,800,2,Kuala Lumpur,0,0,0,0,3
850,Bukit Jalil,Apartment,3,800,0,Kuala Lumpur,0,0,0,0,3
2000,Ampang Hilir,Service Residence,2,697,2,Kuala Lumpur,0,1,1,1,6
2400,Keramat,Condominium,3,1065,2,Kuala Lumpur,1,1,1,1,5
1200,Setapak,Apartment,3,890,1,Kuala Lumpur,0,1,0,1,4
900,Jalan Ipoh,Apartment,3,900,1,Kuala Lumpur,0,0,0,0,5
1350,Old Klang Road,Service Residence,2,730,1,Kuala Lumpur,0,1,0,1,5
2300,Keramat,Condominium,3,1050,2,Kuala Lumpur,1,1,1,1,5
1650,Setapak,Condominium,4,1275,1,Kuala Lumpur,1,0,1,1,4
2000,Keramat,Apartment,3,1280,1,Kuala Lumpur,0,1,0,1,5
1100,KL City,Apartment,3,805,1,Kuala Lumpur,1,0,0,1,6
2500,Segambut,Condominium,4,1300,2,Kuala Lumpur,0,1,1,0,5
2100,Cheras,Condominium,2,960,2,Kuala Lumpur,1,1,1,1,3
1800,Sentul,Condominium,3,1100,2,Kuala Lumpur,1,1,1,1,4
1600,Cheras,Condominium,3,960,2,Kuala Lumpur,1,0,0,1,3
1400,Segambut,Condominium,3,1049,2,Kuala Lumpur,1,1,0,1,5
2700,Keramat,Condominium,3,1372,1,Kuala Lumpur,1,1,1,1,5
2000,Cheras,Service Residence,3,819,2,Kuala Lumpur,1,0,0,1,3
1200,Wangsa Maju,Flat,2,550,0,Kuala Lumpur,0,0,0,0,4
1500,OUG,Service Residence,3,950,2,Kuala Lumpur,1,1,1,1,3
1900,Old Klang Road,Condominium,3,1202,2,Kuala Lumpur,1,1,1,1,5
1199,Segambut,Apartment,3,995,1,Kuala Lumpur,1,0,0,0,5
1300,Kepong,Service Residence,3,801,1,Kuala Lumpur,1,1,0,1,3
1200,Old Klang Road,Condominium,1,350,2,Kuala Lumpur,1,1,1,1,5
1600,Setapak,Service Residence,3,926,1,Kuala Lumpur,0,0,0,0,4
1400,Sentul,Apartment,3,1000,1,Kuala Lumpur,1,0,0,1,4
1600,Bukit Jalil,Apartment,3,850,1,Kuala Lumpur,1,0,0,1,3
1800,Keramat,Condominium,3,926,1,Kuala Lumpur,1,0,0,1,5
1700,Kepong,Condominium,3,1100,1,Kuala Lumpur,1,1,1,1,3
1399,Setapak,Condominium,3,850,1,Kuala Lumpur,0,0,0,0,4
750,Sungai Besi,Apartment,3,650,0,Kuala Lumpur,0,0,0,0,4
1500,Kuchai Lama,Condominium,3,1040,2,Kuala Lumpur,0,0,0,0,4
950,Cheras,Apartment,2,650,1,Kuala Lumpur,0,0,0,0,3
1000,Kepong,Apartment,3,948,1,Kuala Lumpur,0,1,0,1,3
2400,Cheras,Service Residence,3,920,2,Kuala Lumpur,1,1,1,1,3
1400,Taman Desa,Condominium,2,1050,1,Kuala Lumpur,1,0,0,1,4
2500,Damansara,Condominium,2,797,0,Kuala Lumpur,1,1,0,1,6
2000,Old Klang Road,Condominium,2,817,1,Kuala Lumpur,1,1,1,1,5
1500,Pudu,Apartment,3,980,1,Kuala Lumpur,1,0,0,1,5
1200,Taman Desa,Condominium,4,1200,1,Kuala Lumpur,1,1,1,1,4
1899,Wangsa Maju,Condominium,3,860,2,Kuala Lumpur,1,0,0,1,4
1799,Jalan Ipoh,Condominium,2,850,2,Kuala Lumpur,1,0,0,1,5
1800,Sri Damansara,Service Residence,1,499,2,Kuala Lumpur,1,1,1,1,6
750,Cheras,Apartment,3,650,1,Kuala Lumpur,0,0,0,0,3
1200,Cheras,Apartment,3,800,1,Kuala Lumpur,0,0,0,0,3
1799,Taman Melawati,Condominium,2,640,2,Kuala Lumpur,1,0,0,1,6
1500,Sentul,Condominium,3,1000,1,Kuala Lumpur,1,1,1,1,4
1400,Sentul,Apartment,3,1000,1,Kuala Lumpur,1,1,1,1,4
1800,Cheras,Condominium,2,893,0,Kuala Lumpur,1,0,0,1,3
900,Taman Desa,Condominium,1,560,2,Kuala Lumpur,1,0,0,1,4
1600,Jalan Kuching,Service Residence,1,563,2,Kuala Lumpur,1,1,1,1,5
2300,Bukit Jalil,Condominium,3,1226,1,Kuala Lumpur,1,1,1,1,3
800,Ampang,Condominium,1,660,2,Kuala Lumpur,1,1,1,1,3
1100,Cheras,Apartment,3,616,0,Kuala Lumpur,0,0,0,0,3
800,Cheras,Apartment,3,700,1,Kuala Lumpur,0,0,0,0,3
2250,Bangsar South,Service Residence,2,648,2,Kuala Lumpur,1,1,1,1,5
1200,Segambut,Condominium,3,995,1,Kuala Lumpur,1,1,0,0,5
1100,Kepong,Service Residence,4,916,1,Kuala Lumpur,1,0,0,1,3
1300,Sentul,Condominium,3,800,1,Kuala Lumpur,1,0,1,1,4
1700,Ampang,Apartment,3,1000,2,Kuala Lumpur,0,0,0,1,3
850,Kepong,Apartment,3,650,0,Kuala Lumpur,0,0,0,1,3
2500,KL City,Service Residence,1,751,2,Kuala Lumpur,1,1,1,0,6
1900,Segambut,Service Residence,2,903,1,Kuala Lumpur,1,0,0,1,5
1400,Wangsa Maju,Condominium,3,1000,1,Kuala Lumpur,1,0,0,1,4
1500,Wangsa Maju,Apartment,3,800,0,Kuala Lumpur,0,0,0,0,4
1700,Setapak,Condominium,3,950,1,Kuala Lumpur,1,0,0,1,4
1700,Cheras,Condominium,3,1000,1,Kuala Lumpur,1,1,1,1,3
1189,Setapak,Condominium,3,911,1,Kuala Lumpur,1,0,0,1,4
1600,KL City,Condominium,3,911,2,Kuala Lumpur,1,1,1,0,6
1500,Pudu,Service Residence,1,520,2,Kuala Lumpur,1,1,1,1,5
1400,Setapak,Service Residence,2,900,1,Kuala Lumpur,0,1,0,0,4
2300,Bandar Menjalara,Condominium,4,1316,1,Kuala Lumpur,1,1,0,1,4
1300,Segambut,Apartment,3,1224,1,Kuala Lumpur,0,1,0,1,5
1100,Kepong,Apartment,3,1000,1,Kuala Lumpur,1,1,0,0,3
1799,Jalan Ipoh,Condominium,2,840,2,Kuala Lumpur,1,1,1,1,5
900,Cheras,Apartment,2,650,0,Kuala Lumpur,0,0,0,0,3
2200,Setapak,Condominium,3,1012,2,Kuala Lumpur,1,1,0,1,4
1000,Setapak,Condominium,3,1000,1,Kuala Lumpur,1,0,1,1,4
2500,Cheras,Condominium,3,850,2,Kuala Lumpur,1,1,1,1,3
1600,Cheras,Condominium,4,1100,1,Kuala Lumpur,1,1,0,1,3
1400,Pudu,Apartment,3,980,1,Kuala Lumpur,1,0,0,1,5
1600,Desa Pandan,Condominium,3,1266,0,Kuala Lumpur,1,0,0,1,5
1600,Setapak,Condominium,1,530,2,Kuala Lumpur,1,0,0,1,4
850,Kepong,Apartment,3,650,0,Kuala Lumpur,0,0,0,1,3
750,Wangsa Maju,Apartment,2,550,0,Kuala Lumpur,0,0,0,0,4
1450,Keramat,Condominium,4,1184,0,Kuala Lumpur,1,1,1,1,5
1100,Cheras,Flat,3,650,2,Kuala Lumpur,0,0,0,1,3
2200,Kuchai Lama,Service Residence,3,1106,2,Kuala Lumpur,1,1,1,1,4
2000,Cheras,Condominium,3,1025,1,Kuala Lumpur,1,0,0,1,3
850,Kepong,Apartment,3,650,0,Kuala Lumpur,0,0,0,0,3
1350,Cheras,Condominium,3,920,1,Kuala Lumpur,1,0,0,1,3
1450,Segambut,Service Residence,2,900,1,Kuala Lumpur,0,0,0,0,5
1800,Keramat,Condominium,4,1065,1,Kuala Lumpur,1,1,1,1,5
1850,Keramat,Condominium,3,900,2,Kuala Lumpur,1,1,1,1,5
2499,Keramat,Condominium,4,1184,2,Kuala Lumpur,1,1,1,1,5
2000,Wangsa Maju,Apartment,4,850,2,Kuala Lumpur,1,1,1,1,4
1150,Salak Selatan,Apartment,3,797,1,Kuala Lumpur,0,0,0,0,1
1800,Kepong,Apartment,3,978,1,Kuala Lumpur,1,1,1,1,3
1550,Pantai,Apartment,3,810,1,Kuala Lumpur,0,1,0,1,4
1900,Sungai Besi,Condominium,3,839,2,Kuala Lumpur,1,1,1,1,4
1600,Wangsa Maju,Apartment,3,800,1,Kuala Lumpur,0,0,0,0,4
2200,Wangsa Maju,Service Residence,3,1087,2,Kuala Lumpur,1,1,1,1,4
2550,Old Klang Road,Condominium,3,1148,2,Kuala Lumpur,1,1,1,1,5
1000,Cheras,Flat,3,650,0,Kuala Lumpur,0,0,0,1,3
1350,Cheras,Condominium,3,867,1,Kuala Lumpur,0,0,0,1,3
700,Cheras,Condominium,3,910,2,Kuala Lumpur,1,1,1,1,3
2500,KL City,Condominium,3,1005,2,Kuala Lumpur,1,0,0,1,6
1200,Desa Pandan,Condominium,3,900,0,Kuala Lumpur,1,0,0,1,5
1350,Cheras,Condominium,3,750,2,Kuala Lumpur,1,1,1,1,3
1200,Bangsar South,Apartment,2,650,2,Kuala Lumpur,0,1,1,1,5
1999,Solaris Dutamas,Condominium,3,1000,2,Kuala Lumpur,1,1,1,1,5
2200,Sungai Besi,Service Residence,2,1025,2,Kuala Lumpur,1,1,1,1,4
1150,Bukit Jalil,Apartment,3,800,0,Kuala Lumpur,0,0,0,0,3
1800,Cheras,Condominium,3,850,1,Kuala Lumpur,0,1,0,1,3
700,Cheras,Flat,2,665,1,Kuala Lumpur,0,1,0,0,3
1750,Jalan Sultan Ismail,Service Residence,1,650,2,Kuala Lumpur,1,1,1,1,6
2300,Pudu,Condominium,3,850,2,Kuala Lumpur,1,1,0,1,5
1900,Cheras,Condominium,3,950,1,Kuala Lumpur,1,0,0,1,3
1500,Cheras,Condominium,2,998,1,Kuala Lumpur,1,1,0,1,3
1988,Taman Desa,Condominium,3,988,2,Kuala Lumpur,1,1,1,1,4
1400,Keramat,Apartment,3,850,0,Kuala Lumpur,1,0,0,0,5
1388,Taman Desa,Condominium,3,958,1,Kuala Lumpur,1,1,1,1,4
1900,Wangsa Maju,Apartment,3,850,2,Kuala Lumpur,1,1,1,1,4
1550,Sri Petaling,Condominium,3,1100,2,Kuala Lumpur,1,1,1,1,4
2000,Bukit Jalil,Condominium,4,900,2,Kuala Lumpur,1,1,1,1,3
1500,Kuchai Lama,Condominium,3,1040,2,Kuala Lumpur,1,0,0,1,4
800,Setapak,Flat,3,600,0,Kuala Lumpur,0,0,0,0,4
1350,Bukit Jalil,Apartment,3,850,1,Kuala Lumpur,1,0,0,0,3
2199,Old Klang Road,Condominium,3,1202,1,Kuala Lumpur,1,1,0,1,5
1300,Cheras,Condominium,3,1003,1,Kuala Lumpur,1,1,1,1,3
2000,KLCC,Condominium,2,706,2,Kuala Lumpur,1,1,0,1,6
1500,Jalan Ipoh,Service Residence,4,800,1,Kuala Lumpur,1,0,0,1,5
1800,Kuchai Lama,Condominium,3,1100,1,Kuala Lumpur,1,1,1,1,4
1800,Jalan Kuching,Service Residence,3,1400,2,Kuala Lumpur,1,1,1,1,5
1800,Kuchai Lama,Condominium,3,1100,1,Kuala Lumpur,1,1,1,1,4
1500,Solaris Dutamas,Condominium,2,600,2,Kuala Lumpur,1,0,0,1,5
1600,Jalan Kuching,Apartment,1,563,2,Kuala Lumpur,1,1,1,1,5
1699,Puchong,Service Residence,3,955,1,Kuala Lumpur,1,1,0,1,2
2200,Cheras,Service Residence,3,920,2,Kuala Lumpur,1,1,1,1,3
1500,Bukit Jalil,Condominium,3,1018,2,Kuala Lumpur,0,1,1,0,3
2200,Sri Petaling,Service Residence,3,918,2,Kuala Lumpur,1,1,1,1,4
1000,Taman Desa,Condominium,3,830,1,Kuala Lumpur,1,0,0,1,4
1500,Pandan Perdana,Apartment,1,466,2,Kuala Lumpur,1,1,0,1,4
1500,Sungai Besi,Apartment,3,954,2,Kuala Lumpur,1,0,0,1,4
1780,Jalan Ipoh,Condominium,2,900,2,Kuala Lumpur,1,1,1,1,5
1899,Puchong,Service Residence,3,1200,2,Kuala Lumpur,1,1,1,1,2
1800,Bukit Jalil,Apartment,3,850,2,Kuala Lumpur,1,1,1,1,3
1000,Setapak,Condominium,3,850,1,Kuala Lumpur,1,0,0,1,4
1900,Wangsa Maju,Apartment,3,850,2,Kuala Lumpur,1,0,0,1,4
1300,Jalan Kuching,Condominium,3,1100,1,Kuala Lumpur,1,1,0,1,5
850,Bukit Jalil,Apartment,3,850,0,Kuala Lumpur,1,0,0,0,3
1000,Bukit Jalil,Apartment,3,850,0,Kuala Lumpur,1,0,0,0,3
1000,Taman Desa,Condominium,3,850,2,Kuala Lumpur,0,0,0,1,4
1990,Sri Petaling,Service Residence,3,928,1,Kuala Lumpur,1,1,1,1,4
1200,Jalan Ipoh,Condominium,3,1400,0,Kuala Lumpur,1,0,0,1,5
1400,Keramat,Condominium,3,800,2,Kuala Lumpur,1,0,0,1,5
1500,Sri Hartamas,Service Residence,1,590,2,Kuala Lumpur,1,1,1,1,5
1550,Sentul,Condominium,3,1100,2,Kuala Lumpur,1,1,1,1,4
1750,Jalan Kuching,Service Residence,2,700,2,Kuala Lumpur,1,1,1,1,5
1600,Ampang,Service Residence,2,650,2,Kuala Lumpur,1,0,0,1,3
2500,Cheras,Apartment,3,850,1,Kuala Lumpur,1,1,0,1,3
1500,Sentul,Service Residence,3,1001,0,Kuala Lumpur,0,1,0,1,4
900,Cheras,Apartment,3,850,0,Kuala Lumpur,0,0,0,0,3
1850,Sentul,Service Residence,3,850,1,Kuala Lumpur,1,1,0,1,4
1780,KL City,Service Residence,1,320,2,Kuala Lumpur,1,1,1,1,6
1899,Bukit Jalil,Condominium,3,1023,1,Kuala Lumpur,1,1,1,1,3
1300,Bangsar South,Flat,3,720,2,Kuala Lumpur,0,0,0,0,5
2000,Kepong,Service Residence,3,958,2,Kuala Lumpur,1,0,0,1,3
1100,Pantai,Apartment,3,850,1,Kuala Lumpur,0,0,0,1,4
1200,Cheras,Condominium,3,1000,2,Kuala Lumpur,0,0,0,0,3
1000,Bukit Jalil,Condominium,3,800,1,Kuala Lumpur,0,0,0,0,3
1400,Setapak,Apartment,4,1400,0,Kuala Lumpur,1,0,0,1,4
900,Kepong,Apartment,3,720,1,Kuala Lumpur,0,0,0,0,3
1650,Taman Melawati,Service Residence,3,980,1,Kuala Lumpur,1,1,1,1,6
1300,Old Klang Road,Condominium,3,1000,1,Kuala Lumpur,0,1,1,1,5
2800,KLCC,Service Residence,1,600,2,Kuala Lumpur,1,1,1,1,6
1100,Sungai Besi,Service Residence,2,565,1,Kuala Lumpur,1,1,1,1,4
1500,Jalan Ipoh,Condominium,3,1200,1,Kuala Lumpur,1,0,0,1,5
1800,Kepong,Service Residence,3,901,1,Kuala Lumpur,1,1,0,1,3
2700,Gombak,Service Residence,4,924,2,Kuala Lumpur,1,1,1,1,4
1300,Cheras,Condominium,3,940,0,Kuala Lumpur,1,0,0,1,3
700,Kepong,Apartment,3,750,0,Kuala Lumpur,0,0,0,0,3
603,Sungai Besi,Condominium,2,592,0,Kuala Lumpur,1,0,0,1,4
2600,Segambut,Condominium,2,883,2,Kuala Lumpur,1,0,0,1,5
1000,Desa Pandan,Flat,3,650,0,Kuala Lumpur,0,0,0,0,5
1400,Cheras,Service Residence,3,1050,1,Kuala Lumpur,1,1,0,1,3
2500,Old Klang Road,Service Residence,3,935,2,Kuala Lumpur,1,1,1,1,5
2000,Setapak,Service Residence,3,850,1,Kuala Lumpur,1,1,0,1,4
1800,Bukit Jalil,Condominium,4,1422,2,Kuala Lumpur,1,1,1,1,3
1800,Bukit Jalil,Condominium,3,800,2,Kuala Lumpur,1,1,1,0,3
1400,Kepong,Service Residence,3,851,2,Kuala Lumpur,1,1,1,1,3
1500,Kuchai Lama,Condominium,3,1208,1,Kuala Lumpur,1,0,0,1,4
1250,Setapak,Condominium,3,800,0,Kuala Lumpur,1,0,0,1,4
1200,Cheras,Service Residence,1,680,2,Kuala Lumpur,1,1,1,1,3
1550,Setapak,Apartment,3,950,1,Kuala Lumpur,1,1,1,1,4
1980,Cheras,Condominium,3,930,1,Kuala Lumpur,1,1,0,1,3
2300,Cheras,Condominium,4,1000,1,Kuala Lumpur,1,1,0,1,3
1500,Cheras,Condominium,3,930,2,Kuala Lumpur,1,1,1,1,3
1250,Cheras,Condominium,3,930,1,Kuala Lumpur,0,1,1,1,3
1600,Cheras,Condominium,3,893,1,Kuala Lumpur,0,1,1,1,3
1250,Ampang,Condominium,3,1042,0,Kuala Lumpur,0,1,0,1,3
2200,Old Klang Road,Service Residence,2,895,2,Kuala Lumpur,1,1,1,1,5
1500,Keramat,Condominium,3,882,1,Kuala Lumpur,0,1,0,0,5
1200,Pandan Perdana,Apartment,1,450,1,Kuala Lumpur,1,1,0,1,4
2500,Mont Kiara,Condominium,3,940,2,Kuala Lumpur,1,1,1,1,6
2600,Sentul,Condominium,3,1237,2,Kuala Lumpur,0,1,1,1,4
2000,Sentul,Condominium,4,1345,1,Kuala Lumpur,1,1,0,1,4
780,Wangsa Maju,Flat,2,550,0,Kuala Lumpur,0,0,0,0,4
1600,Sri Petaling,Condominium,3,1141,1,Kuala Lumpur,1,0,0,1,4
1200,Cheras,Condominium,3,830,0,Kuala Lumpur,1,0,0,1,3
1500,Bukit Jalil,Apartment,3,1000,1,Kuala Lumpur,1,1,1,1,3
2500,Mont Kiara,Condominium,3,940,2,Kuala Lumpur,1,1,1,1,6
2400,Taman Desa,Service Residence,3,935,1,Kuala Lumpur,1,1,1,1,4
1350,Setapak,Service Residence,3,825,1,Kuala Lumpur,1,0,0,1,4
1200,Kuchai Lama,Condominium,3,1000,1,Kuala Lumpur,1,1,0,1,4
2600,Bukit Jalil,Service Residence,3,1061,1,Kuala Lumpur,1,1,1,1,3
1600,Setapak,Condominium,4,1272,2,Kuala Lumpur,1,1,1,1,4
1450,Cheras,Apartment,2,662,2,Kuala Lumpur,1,1,0,0,3
1000,Pandan Indah,Apartment,3,863,0,Kuala Lumpur,0,0,0,0,2
1400,Keramat,Condominium,3,1000,1,Kuala Lumpur,1,0,0,1,5
800,Sentul,Flat,2,500,1,Kuala Lumpur,0,0,0,0,4
1600,Sentul,Service Residence,3,819,2,Kuala Lumpur,1,1,0,1,4
1550,Ampang,Apartment,3,828,2,Kuala Lumpur,0,1,1,1,3
1150,Ampang,Apartment,3,828,1,Kuala Lumpur,0,1,0,1,3
1400,Cheras,Service Residence,2,825,0,Kuala Lumpur,1,1,0,1,3
1500,Cheras,Condominium,1,562,2,Kuala Lumpur,1,1,1,1,3
1300,Sentul,Service Residence,2,650,1,Kuala Lumpur,1,0,0,1,4
2500,KLCC,Service Residence,1,800,2,Kuala Lumpur,1,0,0,0,6
1100,Kepong,Apartment,3,1010,0,Kuala Lumpur,0,0,0,1,3
1100,Setapak,Service Residence,2,900,0,Kuala Lumpur,0,0,0,0,4
1400,Bukit Jalil,Apartment,3,850,1,Kuala Lumpur,1,0,0,0,3
1200,Cheras,Service Residence,1,500,2,Kuala Lumpur,1,1,1,0,3
2200,Sentul,Condominium,2,900,2,Kuala Lumpur,0,0,0,0,4
2000,Keramat,Condominium,4,1118,0,Kuala Lumpur,1,0,0,1,5
1300,Bangsar South,Flat,3,720,1,Kuala Lumpur,0,0,1,0,5
1900,Keramat,Condominium,4,1185,1,Kuala Lumpur,1,1,0,1,5
2200,Sentul,Condominium,4,1345,1,Kuala Lumpur,1,0,0,1,4
1100,Sentul,Apartment,3,900,1,Kuala Lumpur,1,0,0,1,4
1100,Sentul,Condominium,3,1092,1,Kuala Lumpur,1,0,0,1,4
1400,Keramat,Condominium,3,800,1,Kuala Lumpur,1,0,0,1,5
1150,Ampang,Apartment,3,828,1,Kuala Lumpur,0,1,0,1,3
1550,Ampang,Apartment,3,828,2,Kuala Lumpur,0,1,1,1,3
2300,Bangsar South,Service Residence,2,648,2,Kuala Lumpur,1,0,0,1,5
1000,Desa Pandan,Flat,3,800,1,Kuala Lumpur,0,0,0,0,5
1400,Jalan Kuching,Service Residence,3,857,1,Kuala Lumpur,1,1,0,1,5
1600,Setapak,Service Residence,3,926,0,Kuala Lumpur,0,1,1,0,4
600,Kepong,Apartment,3,600,0,Kuala Lumpur,0,0,0,0,3
1100,Kepong,Apartment,3,950,1,Kuala Lumpur,1,0,0,1,3
899,Kepong,Apartment,3,950,1,Kuala Lumpur,0,1,0,0,3
999,Bandar Menjalara,Service Residence,3,903,1,Kuala Lumpur,0,0,0,1,4
1400,Sentul,Condominium,3,850,2,Kuala Lumpur,1,1,1,1,4
2500,Ampang,Condominium,4,890,2,Kuala Lumpur,1,0,0,0,3
1900,Wangsa Maju,Apartment,3,850,2,Kuala Lumpur,1,1,1,1,4
1200,Kepong,Service Residence,2,475,1,Kuala Lumpur,1,1,0,1,3
2400,Ampang Hilir,Service Residence,2,845,2,Kuala Lumpur,0,1,1,1,6
2600,Segambut,Condominium,2,883,2,Kuala Lumpur,1,0,0,1,5
1450,Cheras,Condominium,3,1100,1,Kuala Lumpur,0,1,0,0,3
1600,Sri Petaling,Condominium,3,1100,2,Kuala Lumpur,1,1,0,1,4
1550,Sri Petaling,Condominium,3,1417,2,Kuala Lumpur,1,1,1,1,4
